Country Name,Country Code,Indicator Name,Indicator Code,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.676955209,7.632330068,7.586882837,7.395648184,7.218792628,7.158958345,7.102231154,7.076709788,7.155880662,7.403061307,7.427939936,7.181608079,6.986732703,6.947010734,7.036356825,7.194665995,7.346330634,7.360513104,7.584418799,8.191394911,8.577384992
Afghanistan,AFG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.953,7.93,7.88,7.899,7.885,7.914,7.817,7.878,7.754,7.753,7.784,7.856,7.93,7.915,9.052,10.133,11.184,11.196,11.185,11.71,11.994
Africa Western and Central,AFW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.479977123,4.285853719,4.180110711,4.094738089,4.100699503,3.974094849,3.950642606,3.968542177,4.000386882,3.991594537,3.96902733,3.982162566,3.703853201,3.881395714,4.164467078,4.157574374,4.274196204,4.323630954,4.395271211,4.852392701,4.736731762
Angola,AGO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,16.7,16.488,16.498,16.378,16.36,16.206,16.153,16.228,16.431,16.618,16.77,16.562,16.492,16.406,16.49,16.575,16.61,16.594,16.497,16.69,15.799
Albania,ALB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.57,17.891,16.985,16.306,15.966,15.626,15.966,13.06,13.674,14.086,13.481,13.376,15.866,18.055,17.193,15.418,13.616,12.304,11.466,11.69,11.474
Andorra,AND,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.505882,12.5125295,12.45635109,11.43300203,11.24072506,10.52323807,10.15082224,9.880419777,9.466394601,9.577473952,10.69329594,11.07494196,11.0437281,11.03740172,11.14891357,10.8562902,11.11310755,10.65973963,10.21609802,11.32561254,10.88965878
United Arab Emirates,ARE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.444,2.661,2.908,2.965,3.12,2.963,2.936,2.821,2.944,2.811,2.596,2.327,2.126,2.002,1.793,1.64,2.462,2.236,2.331,4.294,3.105
Argentina,ARG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.32,19.59,15.36,13.522,11.506,10.078,8.47,7.837,8.645,7.714,7.18,7.217,7.1,7.268,7.579,8.085,8.347,9.22,9.843,11.461,8.736
Armenia,ARM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.992,10.833,10.705,10.617,10.54,10.465,10.394,17.1,19.295,19.523,18.884,17.511,16.576,17.498,18.261,17.617,17.704,18.966,18.304,18.175,15.469
American Samoa,ASM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.747,6.375,5.933,5.399,5.036,4.785,4.381,4.242,5.565,5.214,5.083,5.225,5.663,6.078,6.055,5.711,5.592,5.3,5.159,6.456,5.116
Austria,AUT,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.007,4.852,4.779,5.969,5.682,5.32,4.909,4.198,5.371,4.883,4.637,4.909,5.367,5.674,5.802,6.064,5.561,4.933,4.56,5.201,6.459
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.91,10.04,9.17,7.99,7.26,6.62,6.33,5.86,5.74,5.63,5.42,5.19,4.97,4.91,4.96,5,5,4.9,5,7.24,6.04
Burundi,BDI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.15,3.169,3.134,3.177,3.153,3.185,2.401,1.634,1.621,1.616,1.602,1.593,1.584,1.572,1.442,1.347,1.247,1.146,1.043,1.03,1.118
Belgium,BEL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.178,6.91,7.68,7.363,8.44,8.246,7.459,6.976,7.908,8.293,7.14,7.542,8.425,8.523,8.482,7.83,7.09,5.941,5.364,5.545,6.248
Benin,BEN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,0.765,0.69,0.747,0.79,0.86,0.889,0.902,0.894,0.949,1.04,2.647,2.406,2.099,1.872,1.82,1.784,1.659,1.41,1.214,1.502,1.779
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.74,2.851,2.78,3.473,4,3.669,3.3,3.496,3.711,3.723,3.827,3.856,4.055,4.251,4.461,4.587,4.656,4.695,4.71,5.04,5.2
Bangladesh,BGD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.61,3.966,4.32,4.314,4.25,3.591,4.017,4.492,5,3.379,3.736,4.071,4.426,4.416,4.396,4.35,4.372,4.407,4.441,5.436,5.327
Bulgaria,BGR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.921,18.11,13.733,12.037,10.083,8.951,6.878,5.609,6.817,10.279,11.26,12.27,12.941,11.424,9.143,7.575,6.164,5.211,4.23,5.125,5.267
Bahrain,BHR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.12,1.139,1.128,1.065,1.021,1.021,1.006,1.014,1.07,1.13,1.21,1.2,1.182,1.141,1.16,1.192,1.194,1.2,1.223,1.781,1.541
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.87,9.05,10.84,10.2,10.2,7.54,7.88,8.18,14.25,14.432,14.52,14.02,16.18,13.8,12,12.7,9.8,10,9.336,12.027,11.032
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.289,27.312,28.447,29.276,30.227,31.11,28.984,23.405,24.068,27.312,27.582,28.01,27.49,27.517,27.695,25.408,20.527,18.4,15.692,15.868,14.897
Belarus,BLR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.609,10.908,10.215,9.452,8.728,8.024,7.38,6.698,6.1,6.045,6.022,5.946,5.937,5.902,5.881,5.844,5.648,4.763,4.165,4.049,3.9
Belize,BLZ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.07,10.04,10.343,10.584,10.91,9.39,8.51,8.18,8.328,8.416,8.43,8.379,8.349,8.244,7.578,7,6.596,7.896,9.053,10.784,10.322
Bermuda,BMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.636,2.613,2.664,2.622,2.603,2.577,2.616,2.603,2.973,2.608,2.255,2.066,2.437,2.021,3.111,3.498,3.655,3.519,3.682,7.903,5.089
Brazil,BRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.649,10.641,11.168,10.072,10.551,9.692,9.28,8.268,9.419,8.422,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.329,11.936,13.697,13.158
Barbados,BRB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.85,10.32,11,9.57,9.08,8.73,7.41,8.12,10.02,10.69,11.19,11.59,11.55,12.17,9.803,8.247,8.622,8.322,8.412,9.777,9.433
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.499,5.575,5.663,5.786,5.931,5.997,6.091,6.216,6.411,6.455,6.442,6.482,6.655,6.862,7.726,8.574,9.316,8.7,6.6,7.409,4.905
Bhutan,BTN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,1.9,1.853,1.8,2.49,3.1,3.13,3.7,3.842,3.96,3.32,3.23,2.05,2.87,2.63,2.45,2.705,3.016,3.35,2.72,5.03,4.803
Botswana,BWA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,18.54,21.268,23.8,21.758,19.847,17.782,16.998,16.328,16.169,17.86,18.054,17.952,18.203,18.514,18.93,19.329,19.664,19.681,20.094,21.017,23.106
Central African Republic,CAF,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.405,5.437,5.433,5.352,5.314,5.235,5.191,5.139,5.202,5.291,5.281,5.243,5.243,5.326,5.477,5.491,5.534,5.517,5.607,6.196,6.375
Canada,CAN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.219,7.665,7.574,7.185,6.758,6.484,6.156,6.284,8.46,8.178,7.637,7.392,7.143,7.023,6.945,7.038,6.426,5.837,5.69,9.657,7.527
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.50505901,13.95710153,13.26355901,12.87662965,12.03105717,10.11720853,7.805137237,6.600048232,8.516515684,9.926547566,9.808862847,10.00885235,10.078164,8.879452819,7.815951119,6.481621164,5.284180878,4.305682066,3.771055482,4.358978466,4.463176154
Switzerland,CHE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.49,2.924,4.117,4.316,4.437,3.995,3.641,3.35,4.109,4.808,4.409,4.491,4.747,4.826,4.801,4.918,4.797,4.713,4.394,4.817,5.013
Channel Islands,CHI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.232,5.507,5.842,6.047,6.028,5.762,5.414,5.478,6.874,7.225,7.457,8.264,8.82,8.571,8.178,7.715,7.12,6.571,6.408,6.863,6.875
Chile,CHL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.39,10.168,9.765,10.162,9.34,9.024,8.427,9.285,11.313,8.278,7.277,6.562,6.074,6.483,6.313,6.673,7.257,7.623,7.493,10.934,9.281
China,CHN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5,4.55
Cote d'Ivoire,CIV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.167,5.474,5.805,5.883,5.999,6.009,6.272,6.379,6.571,6.618,7.135,7.223,4.255,3.285,2.579,1.896,3.272,2.85,2.401,2.584,2.63
Cameroon,CMR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.46,6.709,5.908,5.091,4.4,3.729,3.063,3.387,3.744,4.11,3.987,3.835,3.685,3.534,3.518,3.528,3.568,3.601,3.622,3.87,3.973
"Congo, Dem. Rep.",COD,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.239,3.17,3.053,2.975,2.948,3.174,3.403,3.627,3.88,4.096,4.315,4.485,4.468,4.436,4.439,4.521,4.601,4.618,4.591,5.345,5.28
"Congo, Rep.",COG,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,19.877,19.664,19.871,19.886,19.796,19.587,19.894,19.94,19.833,19.345,19.464,19.512,19.827,19.691,19.978,20.223,20.611,20.701,20.392,22.198,21.96
Colombia,COL,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,15.04,14.481,13.221,13.717,11.062,11.091,11.204,11.273,12.066,11.153,10.288,9.959,9.246,8.799,8.572,8.922,9.086,9.36,10.28,15.983,13.898
Comoros,COM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.377,4.369,4.559,4.571,4.522,4.473,4.46,4.398,4.348,4.248,4.207,4.17,4.118,4.119,4.121,4.104,4.03,3.942,3.934,4.471,4.394
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.278,13.397,13.592,13.465,13.45,13.397,13.323,13.335,13.517,10.67,10.948,11.142,11.392,11.674,11.907,12.077,12.24,12.17,12.128,14.69,13.976
Costa Rica,CRI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,6.051,6.396,6.654,6.445,6.749,5.926,4.557,4.934,7.824,7.171,9.518,9.11,8.218,8.499,8.415,8.085,7.729,9.01,10.807,16.432,15.139
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.38876135,11.9097445,12.23479213,11.59748014,11.29167981,10.24583555,9.879653389,9.901979993,11.57580729,11.65802269,11.98299452,12.09895037,12.47918072,12.167637,11.50507577,11.44925343,10.86876662,11.05097003,10.63070831,12.93099999,12.19181104
Cuba,CUB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.08,3.31,2.33,1.854,1.95,1.913,1.788,1.583,1.67,2.5,3.18,3.46,3.29,2.7,2.4,2,1.7,1.7,1.705,2.24,2.116
Curacao,CUW,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.043,3.336,4.153,4.77,5.481,4.593,3.946,3.756,5.594,6.359,7.942,12.097,16.131,16.277,15.026,13.006,11.155,8.504,7.155,7.755,7.513
Czechia,CZE,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.128,7.28,7.777,8.298,7.927,7.141,5.316,4.392,6.662,7.281,6.712,6.979,6.953,6.108,5.048,3.952,2.893,2.246,2.015,2.55,2.803
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.773,8.482,9.779,10.727,11.193,10.277,8.732,7.508,7.88,7.043,5.967,5.372,5.316,4.979,4.612,4.104,3.781,3.384,3.163,3.881,3.594
Djibouti,DJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,26.599,26.59,26.488,26.446,26.452,26.387,26.3,26.194,26.33,26.371,26.314,26.187,26.157,26.173,26.07,25.992,26.064,26.184,26.256,27.713,27.668
Dominica,DMA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.164,4.274,5.398,5.204,4.83,3.897,3.801,3.683,6.409,7.746,7.769,7.798,7.384,6.925,6.278,5.989,5.833,5.131,5.018,5.637,5.043
Dominican Republic,DOM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.262,6.779,6.938,6.303,6.587,5.654,5.158,4.764,5.467,5.212,6.087,6.722,7.351,6.719,7.605,7.284,5.832,5.861,6.356,6.126,7.702
Algeria,DZA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.207,11.206,10.202,12,12.137,12.259,14.057,13.63
East Asia & Pacific (excluding high income),EAP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.845481266,4.158904186,4.406100125,4.400817519,4.479853274,4.373462717,4.353817008,4.434586902,4.416219489,4.155455391,4.105799793,4.044540832,4.046443743,4.041865758,4.116369924,4.034042927,3.911714815,3.802343783,3.893305531,4.360739681,4.122485917
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,7.20100761,7.446631973,7.338578224,7.220759258,7.131898774,6.906909718,6.841708206,6.798740057,6.922076634,6.72549254,6.641632694,6.739132559,6.717680939,6.646582389,6.821258332,6.759151988,6.745125147,6.79972999,6.334711304,7.410809782,6.786333959
East Asia & Pacific,EAS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.956743035,4.256001747,4.469945707,4.420429623,4.46538304,4.341899718,4.294623914,4.373138942,4.46622744,4.217137536,4.122815421,4.053125327,4.038528699,4.017839961,4.082512928,3.995805158,3.865650242,3.744974769,3.814721,4.289700499,4.054342453
Europe & Central Asia (excluding high income),ECA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.63995979,10.69031287,10.27821863,10.10623997,9.570569945,9.083026744,8.550210461,8.551479857,10.18981829,9.557935356,8.915320607,8.642420277,8.605216978,9.007716344,9.014505519,9.092297871,8.991399325,8.661019507,9.16433394,9.316210485,9.010393074
Europe & Central Asia,ECS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.059738493,9.077112075,9.110045089,9.049014021,8.719351503,8.153207933,7.231336416,7.1623738,9.059032688,9.119022607,8.856528386,9.076067354,9.272401688,8.957042948,8.572123876,8.093316096,7.499840648,6.898251889,6.643301969,7.109243974,6.909659166
Ecuador,ECU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.252,4.836,5.662,5.002,3.779,3.55,3.142,3.917,4.608,4.088,3.458,3.235,3.083,3.48,3.616,4.597,3.836,3.53,3.812,6.127,4.552
"Egypt, Arab Rep.",EGY,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.26,10.01,10.91,10.32,11.049,10.49,8.8,8.517,9.087,8.757,11.849,12.597,13.154,13.105,13.052,12.45,11.767,9.855,7.851,7.974,7.441
Euro area,EMU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.418723327,8.679847271,9.020875753,9.290411215,9.150301071,8.43019516,7.53799191,7.544694457,9.634971456,10.17598382,10.26205136,11.41617106,11.99891166,11.62821448,10.88521948,10.03646118,9.073533821,8.160924848,7.520061748,7.830017527,7.722098133
Eritrea,ERI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.678,5.708,5.679,5.569,5.579,5.566,5.575,5.524,5.583,5.675,5.614,5.501,5.423,5.43,5.541,5.554,5.577,5.511,5.552,6.088,6.177
Spain,ESP,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.348,11.146,11.283,11.09,9.146,8.452,8.232,11.254,17.857,19.86,21.39,24.789,26.094,24.441,22.057,19.635,17.224,15.255,14.104,15.532,14.781
Estonia,EST,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,13.134,10.026,11.288,10.248,8.033,5.915,4.592,5.455,13.548,16.707,12.328,10.021,8.631,7.352,6.412,6.882,5.807,5.412,4.514,6.956,6.178
Ethiopia,ETH,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.176,3.06,2.995,2.767,2.497,2.351,2.347,2.335,2.331,2.3,2.275,2.255,2.251,2.359,2.443,2.554,2.662,2.802,2.917,3.994,3.935
European Union,EUU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.210230566,9.564762748,9.703694913,9.856337544,9.632248553,8.687514134,7.502713093,7.241799987,9.212311201,9.874322484,9.929587456,10.87550283,11.35063709,10.82898126,10.02018621,9.109683055,8.136154058,7.256210584,6.686491098,7.0482186,7.01183843
Fragile and conflict affected situations,FCS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5.802649936,5.770828472,5.641809718,5.486179125,5.175321288,5.041063527,4.966801361,5.003304269,5.058160954,5.133936326,5.179804813,5.243408206,5.230813431,5.374072231,5.470641381,5.617015486,5.830651942,5.829739634,5.879107366,6.651807556,6.777619441
Finland,FIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.29,10.423,10.469,10.358,9.602,8.935,6.854,6.369,8.249,8.394,7.781,7.689,8.193,8.663,9.376,8.818,8.64,7.361,6.695,7.759,7.617
Fiji,FJI,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.695,4.769,4.738,4.7,3.886,3.958,4.106,4.185,4.305,4.343,4.406,4.375,4.357,4.325,4.291,4.319,4.324,4.335,4.373,4.649,4.701
France,FRA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.61,8.702,8.306,8.914,8.882,8.832,8.008,7.386,9.122,9.279,9.228,9.841,9.913,10.273,10.354,10.057,9.409,9.018,8.415,8.009,7.874
Faroe Islands,FRO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Gabon,GAB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,17.762,17.351,17.119,17.095,16.91,17.785,18.261,19.191,19.753,20.39,19.941,19.728,19.794,19.916,19.978,20.134,20.303,20.439,20.358,21.27,21.218
United Kingdom,GBR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.696,5.037,4.807,4.594,4.835,5.411,5.342,5.705,7.627,7.924,8.169,8.25,7.704,6.363,5.517,4.867,4.452,4.12,3.613,4.472,4.826
Georgia,GEO,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,11.16,12.59,11.51,12.62,13.81,13.57,13.28,17.87,20.71,20.203,19.632,19.653,19.416,17.439,16.506,16.604,13.939,12.667,11.565,11.73,11.791
Ghana,GHA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.602,8.695,7.72,6.756,5.816,4.897,5.092,5.144,5.348,5.384,4.227,3.141,2.173,4.415,6.806,5.232,3.369,3.253,3.16,3.313,3.384
Gibraltar,GIB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,4.597,4.549,4.644,4.743,4.875,4.93,4.818,4.829,4.967,5.097,5.094,4.884,4.967,5.09,5.224,5.013,4.826,4.787,5.018,6.018,5.827
"Gambia, The",GMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.708,10.079,10.032,9.991,9.963,10.259,10.428,10.092,9.823,9.723,10.283,10.346,9.454,8.218,7.26,6.285,5.157,4.127,4.538,5.892,6.269
Guinea-Bissau,GNB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,3.154,3.181,3.244,3.238,3.174,3.154,3.149,3.164,3.152,3.137,3.08,3.143,3.162,3.254,3.157,3.123,3.066,3.127,2.413,2.89,3.031
Equatorial Guinea,GNQ,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,8.032,8.09,8.11,8.03,8.008,7.924,7.877,7.831,7.939,8.07,8.045,7.957,7.86,7.845,7.95,7.962,8.004,7.967,8.064,8.781,8.976
Greece,GRC,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.764,10.346,9.839,10.628,10.074,8.906,8.351,7.664,9.546,12.719,17.973,24.731,27.686,26.708,24.981,23.514,21.413,19.179,17.045,15.899,14.656
